no,title,artist,genre,good
1,바라만 본다,MSG워너비(M.O.M),발라드,135510
2,신호등,이무진,록/메탈,154436
3,Next Level,aespa,댄스,182616
4,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",72864
5,Permission to Dance,방탄소년단,댄스,150535
6,Weekend,태연 (TAEYEON),댄스,101817
7,Butter,방탄소년단,댄스,233455
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,137448
9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,186420
10,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,134759
11,좋아좋아,조정석,"국내드라마, 발라드",43547
12,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",285281
13,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,88242
14,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",68734
15,Dynamite,방탄소년단,댄스,420012
16,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,80005
17,라일락,아이유,"댄스, 발라드, R&B/Soul",209454
18,비와 당신,이무진,"국내드라마, 록/메탈",68073
19,나를 아는 사람,MSG워너비(정상동기),발라드,66389
20,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",116874
21,Celebrity,아이유,"댄스, 발라드, R&B/Soul",294893
22,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",97790
23,하루만 더,빅마마,발라드,37970
24,운전만해 (We Ride),브레이브걸스,댄스,126719
25,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,101949
26,상상더하기,라붐 (LABOUM),"댄스, 발라드",119027
27,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",59753
28,Timeless,SG 워너비,발라드,99823
29,멜로디,ASH ISLAND,랩/힙합,100817
30,내 손을 잡아,아이유,"발라드, 국내드라마",163143
31,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,88726
32,비가 오는 날엔 (2021),헤이즈 (Heize),"국내드라마, 발라드",14999
33,밤하늘의 별을(2020),경서,발라드,159434
34,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,181957
35,다정히 내 이름을 부르면,경서예지,발라드,33479
36,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",196963
37,Bad Habits,Ed Sheeran,POP,34516
38,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",188642
39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",427164
40,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",92568
41,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"발라드, 록/메탈, 포크/블루스",356615
42,라라라,SG 워너비,"발라드, 댄스",83002
43,Blueming,아이유,록/메탈,314129
44,아로하,조정석,"국내드라마, 발라드",224020
45,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,98176
46,추억은 만남보다 이별에 남아,정동하,발라드,53652
47,가을 우체국 앞에서,김대명,"국내드라마, 발라드",30310
48,잠이 오질 않네요,장범준,발라드,144656
49,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,364278
50,Off My Face,Justin Bieber,POP,62887
51,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드,196992
52,넌 좋은 사람,SG 워너비,발라드,26380
53,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,45718
54,2002,Anne-Marie,POP,365800
55,봄날,방탄소년단,"랩/힙합, 발라드",546003
56,슈퍼스타,미도와 파라솔,"국내드라마, 록/메탈",25199
57,METEOR,창모 (CHANGMO),랩/힙합,267304
58,그날에 나는 맘이 편했을까,이예준,발라드,58968
59,허리춤,오반 (OVAN),"랩/힙합, 인디음악",26854
60,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul",223351
61,전쟁터 (with 이선희),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",24199
62,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합,188152
63,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈",291018
64,You can't sit with us,선미,"댄스, 록/메탈",7152
65,Coin,아이유,"댄스, 발라드, R&B/Soul",99870
66,내사람,SG 워너비,R&B/Soul,68544
67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마",372583
68,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스",136240
69,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스",58216
70,12:45 (Stripped),Etham,POP,144972
71,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악",108987
72,너에게,유연석,"국내드라마, 발라드",6089
73,DUMB DUMB,전소미,댄스,17191
74,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악",231949
75,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드",181647
76,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악",83704
77,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악",164451
78,Memories,Maroon 5,POP,172735
79,나는 너 좋아,장범준,"국내드라마, 록/메탈",16627
80,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악",242138
81,사실 나는 (Feat.전건호),경서예지,발라드,79128
82,STAY,The Kid LAROI,POP,33802
83,How You Like That,BLACKPINK,댄스,182249
84,늦은 밤 너의 집 앞 골목길에서,노을,발라드,184336
85,째깍 째깍 째깍 (with Beenzino),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",15687
86,난 너를 사랑해,MSG워너비,발라드,18290
87,Dance Monkey,Tones And I,POP,161498
88,고백,장범준,록/메탈,16895
89,이제 나만 믿어요,임영웅,성인가요,132956
90,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드,72577
91,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,"국내드라마, 발라드, 록/메탈",12768
92,그냥 안아달란 말야,다비치,발라드,40802
93,러브(Prod.로코베리),로꼬,랩/힙합,25756
94,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악",51230
95,힘든 건 사랑이 아니다,임창정,"발라드, 댄스",106805
96,다시 사랑할 수 있을까,백지영,발라드,14060
97,마음을 드려요,아이유,"국내드라마, 발라드",212847
98,추적이는 여름 비가 되어,장범준,"발라드, 록/메탈",26224
99,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),발라드,30344
100,BENCH (with Zion.T),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",13303
